sellerServiceStatus,logNo,title,categoryNo,parentCategoryNo,sourceCode,commentCount,readCount,addDate,openType,searchYn,greenReviewBannerYn,memologMovingYn,isPostSelectable,isPostNotOpen,isPostBlocked,isBlockTmpForced,postProductStatus
,223276583007,%5B%EC%98%81%EA%B5%AD+%EA%B5%AD%EB%B9%88%EB%B0%A9%EB%AC%B8%5D+%EC%B0%B0%EC%8A%A4+3%EC%84%B8%EC%9D%98+%26quot%3B%EB%B0%94%EB%9E%8C%EC%9D%B4+%EB%B6%88%EC%96%B4%26quot%3B+%ED%99%98%EC%98%81%EC%82%AC%2C+%EC%9C%A4%EB%8C%80%ED%86%B5%EB%A0%B9%EC%9D%98+%26quot%3B%EC%86%8C%EB%84%A4%ED%8A%B8++%23104%26quot%3B+%EB%8B%B5%EC%82%AC+%ED%95%B4%EC%84%9D,18,15,0,7.0,,2023. 11. 28.,2,True,False,0,0,0,0,0,
,223275480385,%EA%B8%80%EB%A3%A8%ED%85%90+%ED%94%84%EB%A6%AC+%EB%AC%B4%EC%A1%B0%EA%B1%B4+%EC%A2%8B%EC%9D%84%EA%B9%8C%3F+%7C+%EC%A0%9C%EB%A1%9C+%EC%9D%8C%EC%8B%9D+%EB%81%9D%ED%8C%90%EC%99%95+%26quot%3B%EC%A0%9C%EB%A1%9C%EB%B0%80%EC%83%8C%EB%93%9C%26quot%3B+%EC%9A%B0%EC%9C%A0+%EB%A6%AC%EB%B7%B0,6,7,0,19.0,,2023. 11. 26.,2,True,False,0,0,0,0,0,
,223270626885,%5B+%EA%B8%B0%ED%83%80%ED%81%90%EC%8A%88+2+%5D+WELCOME%21+KitaQ+%EC%9D%BC%EB%B3%B8+%EC%88%99%EB%B0%95+%ED%95%A0%EC%9D%B8+%EC%A7%80%EC%9B%90%EA%B8%88+%EB%BD%95+%EB%BD%91%EA%B8%B0,8,7,0,22.0,,2023. 11. 21.,2,True,False,0,0,0,0,0,
,223269931074,%5B+%EA%B8%B0%ED%83%80%ED%81%90%EC%8A%88+1+%5D+WELCOME%21+KitaQ+5%EC%B2%9C%EC%97%94+%EC%97%AC%ED%96%89+%EC%A7%80%EC%9B%90%EA%B8%88+%EC%9D%B4%EB%B2%A4%ED%8A%B8,8,7,0,14.0,,2023. 11. 20.,2,True,False,0,0,0,0,0,
,223269818640,%5B%EC%9D%BC%EB%B3%B8+%EA%B0%84%EC%82%AC%EC%9D%B4+3%5D+%EA%B5%90%ED%86%B5%ED%8C%A8%EC%8A%A4+%EC%B4%9D%EC%A0%95%EB%A6%AC+%28%ED%95%9C%EC%8B%A0%2C+%ED%95%9C%ED%81%90%2C+%EA%B0%84%EC%82%AC%EC%9D%B4+%EC%93%B0%EB%A3%A8%ED%8C%A8%EC%8A%A4%2C+%EA%B8%B4%ED%85%8C%EC%B8%A0%EB%A0%88%EC%9D%BC%ED%8C%A8%EC%8A%A4+%ED%95%A0%EC%9D%B8%29,8,7,0,4.0,,2023. 11. 20.,2,True,False,0,0,0,0,0,
,223267775329,%5B%EC%97%B0%EB%82%A8%EB%8F%99+%EC%99%80%EC%9D%B8%5D+%ED%93%A8%EC%A0%84%ED%95%9C%EC%8B%9D+%EC%BD%94%EC%8A%A4+%EC%95%88%EC%A3%BC%ED%95%9C%EC%83%81%26%EC%99%80%EC%9D%B8%EB%B0%94+%EC%97%B0%EB%82%A8%ED%95%9C%EC%96%91%EC%A7%91,23,23,0,36.0,,2023. 11. 17.,2,True,False,0,0,0,0,0,
,223266925823,%ED%96%84%EB%A8%B9%EB%8A%94+%EC%A0%A4%EB%A6%AC%EA%B3%B0+%EC%8D%B8%EB%84%A4%EC%9D%BC+%EB%A7%8C%EB%93%A4%EC%97%88%EC%96%B4%EC%9A%94+%ED%9E%88%ED%9E%88,19,15,0,30.0,,2023. 11. 16.,2,True,False,0,0,0,0,0,
,223266389175,%EA%B0%80%EC%9E%A5+%EB%84%93%EC%9D%80+%EA%B8%B8%EC%9D%80+%EC%96%B8%EC%A0%9C%EB%82%98+%EB%82%B4+%EB%A7%88%EC%9D%8C%EC%86%8D%EC%97%90+%7C+%EB%94%B0%EB%9C%BB%ED%95%9C+%EC%9D%91%EC%9B%90%EC%9D%84+%EB%8B%B4%EC%9D%80+2024+%EC%88%98%EB%8A%A5+%ED%95%84%EC%A0%81+%ED%99%95%EC%9D%B8%EB%AC%B8%EA%B5%AC,18,15,0,61.0,,2023. 11. 16.,2,True,False,0,0,0,0,0,
,223265489686,%5B%EB%B9%BD%EB%8B%A4%EB%B0%A9+%EA%B5%AC%EC%9D%98%EC%A4%91%EC%95%99%EC%A0%90%5D+%EC%8B%A0%EB%A9%94%EB%89%B4+%ED%99%A9%EC%B9%98%EC%A6%88+%ED%81%AC%EB%9F%BC%EB%B8%94+%EB%A8%B8%ED%95%80%2C+%EC%82%AC%EB%9D%BC%EB%8B%A4%EB%B9%B5+%EB%A6%AC%EB%B7%B0,6,7,0,18.0,,2023. 11. 15.,2,True,False,0,0,0,0,0,
,223265397078,%5B%EC%9D%BC%EB%B3%B8+%EA%B0%84%EC%82%AC%EC%9D%B4+2%5D+%EA%B4%80%EA%B4%91%ED%8C%A8%EC%8A%A4+%EC%B4%9D%EC%A0%95%EB%A6%AC+%28%EC%98%A4%EC%82%AC%EC%B9%B4+%EC%A3%BC%EC%9C%A0%ED%8C%A8%EC%8A%A4%2C+e-pass+%EC%9D%B4%ED%8C%A8%EC%8A%A4%2C+%EA%B0%84%EC%82%AC%EC%9D%B4+%EC%A1%B0%EC%9D%B4%ED%8C%A8%EC%8A%A4%29,8,7,0,31.0,,2023. 11. 15.,2,True,False,0,0,0,0,0,
